Wilayah,Tahun,Persentase Rumah Mengakses Air Minum Layak
Kabupaten Cilacap,2020,93.02
Kabupaten Banyumas,2020,92.8
Kabupaten Purbalingga,2020,94.51
Kabupaten Banjarnegara,2020,85.54
Kabupaten Kebumen,2020,88.16
Kabupaten Purworejo,2020,86.82
Kabupaten Wonosobo,2020,97.74
Kabupaten Magelang,2020,90.51
Kabupaten Boyolali,2020,95.08
Kabupaten Klaten,2020,97.83
Kabupaten Sukoharjo,2020,99.27
Kabupaten Wonogiri,2020,96.84
Kabupaten Karanganyar,2020,98.53
Kabupaten Sragen,2020,98.15
Kabupaten Grobogan,2020,81.6
Kabupaten Blora,2020,92.41
Kabupaten Rembang,2020,96.57
Kabupaten Pati,2020,94.97
Kabupaten Kudus,2020,98.32
Kabupaten Jepara,2020,83.61
Kabupaten Demak,2020,96.3
Kabupaten Semarang,2020,98.22
Kabupaten Temanggung,2020,92.81
Kabupaten Kendal,2020,95.78
Kabupaten Batang,2020,98.09
Kabupaten Pekalongan,2020,97.14
Kabupaten Pemalang,2020,92.85
Kabupaten Tegal,2020,96.8
Kabupaten Brebes,2020,93.17
Kota Magelang,2020,100
Kota Surakarta,2020,99.4
Kota Salatiga,2020,99.12
Kota Semarang,2020,98.9
Kota Pekalongan,2020,99.9
Kota Tegal,2020,99.89
Kabupaten Cilacap,2021,93.37
Kabupaten Banyumas,2021,91.49
Kabupaten Purbalingga,2021,85.18
Kabupaten Banjarnegara,2021,82.61
Kabupaten Kebumen,2021,86.36
Kabupaten Purworejo,2021,85.99
Kabupaten Wonosobo,2021,95.64
Kabupaten Magelang,2021,94.14
Kabupaten Boyolali,2021,93.42
Kabupaten Klaten,2021,97.84
Kabupaten Sukoharjo,2021,98.01
Kabupaten Wonogiri,2021,98.82
Kabupaten Karanganyar,2021,98.65
Kabupaten Sragen,2021,98.33
Kabupaten Grobogan,2021,76.14
Kabupaten Blora,2021,94.84
Kabupaten Rembang,2021,95.36
Kabupaten Pati,2021,99.72
Kabupaten Kudus,2021,98.9
Kabupaten Jepara,2021,81.48
Kabupaten Demak,2021,96.71
Kabupaten Semarang,2021,98.25
Kabupaten Temanggung,2021,91.87
Kabupaten Kendal,2021,92.65
Kabupaten Batang,2021,98.38
Kabupaten Pekalongan,2021,96.2
Kabupaten Pemalang,2021,95.14
Kabupaten Tegal,2021,98.87
Kabupaten Brebes,2021,92.6
Kota Magelang,2021,100
Kota Surakarta,2021,99.82
Kota Salatiga,2021,98.78
Kota Semarang,2021,98.42
Kota Pekalongan,2021,99.28
Kota Tegal,2021,100
Kabupaten Cilacap,2022,90.56
Kabupaten Banyumas,2022,90.03
Kabupaten Purbalingga,2022,88.61
Kabupaten Banjarnegara,2022,89.21
Kabupaten Kebumen,2022,87.38
Kabupaten Purworejo,2022,89.1
Kabupaten Wonosobo,2022,90.28
Kabupaten Magelang,2022,94.65
Kabupaten Boyolali,2022,96.36
Kabupaten Klaten,2022,97.97
Kabupaten Sukoharjo,2022,99.45
Kabupaten Wonogiri,2022,94.67
Kabupaten Karanganyar,2022,98.18
Kabupaten Sragen,2022,96.85
Kabupaten Grobogan,2022,81.85
Kabupaten Blora,2022,93.39
Kabupaten Rembang,2022,96.43
Kabupaten Pati,2022,96.67
Kabupaten Kudus,2022,95.7
Kabupaten Jepara,2022,83.46
Kabupaten Demak,2022,93.64
Kabupaten Semarang,2022,93.7
Kabupaten Temanggung,2022,94.15
Kabupaten Kendal,2022,95.15
Kabupaten Batang,2022,93.63
Kabupaten Pekalongan,2022,91.59
Kabupaten Pemalang,2022,95.56
Kabupaten Tegal,2022,99.32
Kabupaten Brebes,2022,89.67
Kota Magelang,2022,99.71
Kota Surakarta,2022,98.68
Kota Salatiga,2022,98.04
Kota Semarang,2022,99.36
Kota Pekalongan,2022,99.96
Kota Tegal,2022,99.41
Kabupaten Cilacap,2023,88.75
Kabupaten Banyumas,2023,93.57
Kabupaten Purbalingga,2023,82.82
Kabupaten Banjarnegara,2023,87.56
Kabupaten Kebumen,2023,87.34
Kabupaten Purworejo,2023,91.26
Kabupaten Wonosobo,2023,94.61
Kabupaten Magelang,2023,97.5
Kabupaten Boyolali,2023,94.36
Kabupaten Klaten,2023,99.52
Kabupaten Sukoharjo,2023,99.71
Kabupaten Wonogiri,2023,96.57
Kabupaten Karanganyar,2023,98.48
Kabupaten Sragen,2023,98.14
Kabupaten Grobogan,2023,82.18
Kabupaten Blora,2023,93.54
Kabupaten Rembang,2023,95.34
Kabupaten Pati,2023,95.92
Kabupaten Kudus,2023,94.62
Kabupaten Jepara,2023,83.79
Kabupaten Demak,2023,92.26
Kabupaten Semarang,2023,95.84
Kabupaten Temanggung,2023,97.8
Kabupaten Kendal,2023,96.78
Kabupaten Batang,2023,96.79
Kabupaten Pekalongan,2023,95.65
Kabupaten Pemalang,2023,97.68
Kabupaten Tegal,2023,98.17
Kabupaten Brebes,2023,88.78
Kota Magelang,2023,100
Kota Surakarta,2023,99.16
Kota Salatiga,2023,98.71
Kota Semarang,2023,99.88
Kota Pekalongan,2023,98.88
Kota Tegal,2023,100
