Wilayah,Tahun,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
Kabupaten Cilacap,2020,73.73,12.5,6.97,10440,69.95
Kabupaten Banyumas,2020,73.72,12.85,7.52,11448,71.98
Kabupaten Purbalingga,2020,73.14,11.99,7.24,9914,68.97
Kabupaten Banjarnegara,2020,74.18,11.46,6.74,9263,67.45
Kabupaten Kebumen,2020,73.4,13.34,7.54,8901,69.81
Kabupaten Purworejo,2020,74.72,13.5,8.12,10163,72.68
Kabupaten Wonosobo,2020,71.82,11.75,6.81,10621,68.22
Kabupaten Magelang,2020,73.72,12.54,7.78,9301,69.87
Kabupaten Boyolali,2020,75.95,12.56,7.84,12910,74.25
Kabupaten Klaten,2020,76.78,13.25,8.58,11921,75.56
Kabupaten Sukoharjo,2020,77.65,13.83,9.34,11325,76.98
Kabupaten Wonogiri,2020,76.16,12.49,7.33,9286,70.25
Kabupaten Karanganyar,2020,77.47,13.68,8.56,11428,75.86
Kabupaten Sragen,2020,75.71,12.83,7.65,12589,73.95
Kabupaten Grobogan,2020,74.75,12.3,6.91,10221,69.87
Kabupaten Blora,2020,74.41,12.2,6.83,9571,68.84
Kabupaten Rembang,2020,74.55,12.11,7.16,10328,70.02
Kabupaten Pati,2020,76.22,12.65,7.44,10390,71.77
Kabupaten Kudus,2020,76.6,13.23,8.75,11160,75
Kabupaten Jepara,2020,75.84,12.75,7.68,10343,71.99
Kabupaten Demak,2020,75.4,13.31,7.71,10128,72.22
Kabupaten Semarang,2020,75.73,12.97,8.02,11966,74.1
Kabupaten Temanggung,2020,75.58,12.14,7.24,9343,69.57
Kabupaten Kendal,2020,74.43,12.95,7.45,11425,72.29
Kabupaten Batang,2020,74.69,12.01,6.87,9431,68.65
Kabupaten Pekalongan,2020,73.69,12.41,6.91,10312,69.63
Kabupaten Pemalang,2020,73.4,11.95,6.42,8461,66.32
Kabupaten Tegal,2020,71.6,12.67,6.98,9612,68.39
Kabupaten Brebes,2020,69.33,12.04,6.21,10058,66.11
Kota Magelang,2020,76.85,14.14,10.39,12210,78.99
Kota Surakarta,2020,77.22,14.87,10.69,14761,82.21
Kota Salatiga,2020,77.4,15.41,10.42,15699,83.14
Kota Semarang,2020,77.34,15.52,10.53,15243,83.05
Kota Pekalongan,2020,74.38,12.84,8.96,12467,74.98
Kota Tegal,2020,74.46,13.05,8.51,12999,75.07
Kabupaten Cilacap,2021,73.9,12.63,7.09,10534,70.42
Kabupaten Banyumas,2021,73.8,13.03,7.63,11546,72.44
Kabupaten Purbalingga,2021,73.21,12,7.25,10032,69.15
Kabupaten Banjarnegara,2021,74.28,11.63,6.75,9407,67.86
Kabupaten Kebumen,2021,73.55,13.35,7.55,9028,70.05
Kabupaten Purworejo,2021,74.87,13.51,8.21,10275,72.98
Kabupaten Wonosobo,2021,71.94,11.76,6.82,10760,68.43
Kabupaten Magelang,2021,73.88,12.55,7.79,9440,70.12
Kabupaten Boyolali,2021,76.03,12.57,7.85,13031,74.4
Kabupaten Klaten,2021,76.86,13.39,8.81,12017,76.12
Kabupaten Sukoharjo,2021,77.73,13.84,9.35,11428,77.13
Kabupaten Wonogiri,2021,76.28,12.5,7.34,9429,70.49
Kabupaten Karanganyar,2021,77.55,13.69,8.57,11509,75.99
Kabupaten Sragen,2021,75.79,12.84,7.66,12679,74.08
Kabupaten Grobogan,2021,74.84,12.44,7.11,10294,70.41
Kabupaten Blora,2021,74.51,12.35,6.99,9669,69.37
Kabupaten Rembang,2021,74.61,12.12,7.3,10519,70.43
Kabupaten Pati,2021,76.27,12.94,7.48,10506,72.28
Kabupaten Kudus,2021,76.68,13.24,8.76,11272,75.16
Kabupaten Jepara,2021,75.91,12.76,7.79,10536,72.36
Kabupaten Demak,2021,75.46,13.32,7.86,10248,72.57
Kabupaten Semarang,2021,75.79,12.98,8.03,12070,74.24
Kabupaten Temanggung,2021,75.64,12.32,7.25,9408,69.88
Kabupaten Kendal,2021,74.48,12.96,7.46,11608,72.5
Kabupaten Batang,2021,74.74,12.13,6.88,9524,68.92
Kabupaten Pekalongan,2021,73.74,12.42,7.17,10409,70.11
Kabupaten Pemalang,2021,73.53,11.96,6.45,8573,66.56
Kabupaten Tegal,2021,71.72,12.89,6.99,9700,68.79
Kabupaten Brebes,2021,69.54,12.05,6.22,10152,66.32
Kota Magelang,2021,76.93,14.15,10.62,12349,79.43
Kota Surakarta,2021,77.32,14.88,10.9,14911,82.62
Kota Salatiga,2021,77.55,15.42,10.66,15843,83.6
Kota Semarang,2021,77.51,15.53,10.78,15425,83.55
Kota Pekalongan,2021,74.44,12.85,9.18,12598,75.4
Kota Tegal,2021,74.54,13.07,8.73,13143,75.52
Kabupaten Cilacap,2022,74.07,12.66,7.18,10904,70.99
Kabupaten Banyumas,2022,73.88,13.21,7.78,11905,73.17
Kabupaten Purbalingga,2022,73.28,12.01,7.33,10277,69.54
Kabupaten Banjarnegara,2022,74.37,11.81,6.84,9776,68.61
Kabupaten Kebumen,2022,73.7,13.36,7.85,9282,70.79
Kabupaten Purworejo,2022,75.03,13.52,8.32,10671,73.6
Kabupaten Wonosobo,2022,72.05,11.78,6.88,11108,68.89
Kabupaten Magelang,2022,74.03,12.58,7.81,10011,70.85
Kabupaten Boyolali,2022,76.12,12.62,8.08,13250,74.97
Kabupaten Klaten,2022,76.95,13.4,9.09,12522,76.95
Kabupaten Sukoharjo,2022,77.82,13.9,9.62,11841,77.94
Kabupaten Wonogiri,2022,76.41,12.51,7.42,9780,71.04
Kabupaten Karanganyar,2022,77.64,13.7,8.79,11798,76.58
Kabupaten Sragen,2022,75.87,12.91,7.79,13052,74.65
Kabupaten Grobogan,2022,74.93,12.45,7.26,10610,70.97
Kabupaten Blora,2022,74.6,12.44,7.01,10067,69.95
Kabupaten Rembang,2022,74.68,12.13,7.41,10937,71
Kabupaten Pati,2022,76.32,12.95,7.79,10948,73.14
Kabupaten Kudus,2022,76.76,13.25,9.06,11609,75.89
Kabupaten Jepara,2022,75.97,12.77,8.09,10913,73.15
Kabupaten Demak,2022,75.52,13.33,8.1,10698,73.36
Kabupaten Semarang,2022,75.86,13.04,8.05,12448,74.67
Kabupaten Temanggung,2022,75.7,12.55,7.41,9773,70.77
Kabupaten Kendal,2022,74.53,12.97,7.71,11999,73.19
Kabupaten Batang,2022,74.79,12.14,6.9,9972,69.45
Kabupaten Pekalongan,2022,73.8,12.43,7.46,10707,70.81
Kabupaten Pemalang,2022,73.65,11.98,6.5,8994,67.19
Kabupaten Tegal,2022,71.85,12.91,7.25,10020,69.53
Kabupaten Brebes,2022,69.74,12.15,6.35,10514,67.03
Kota Magelang,2022,77.02,14.31,10.94,12816,80.39
Kota Surakarta,2022,77.43,14.89,10.92,15463,83.08
Kota Salatiga,2022,77.72,15.43,10.95,16351,84.35
Kota Semarang,2022,77.69,15.54,10.8,16047,84.08
Kota Pekalongan,2022,74.51,12.86,9.2,13158,75.9
Kota Tegal,2022,74.64,13.08,9,13455,76.15
Kabupaten Cilacap,2023,74.25,12.67,7.39,11432,71.83
Kabupaten Banyumas,2023,73.98,13.26,7.87,12492,73.86
Kabupaten Purbalingga,2023,73.37,12.02,7.34,10964,70.24
Kabupaten Banjarnegara,2023,74.47,11.82,6.86,10226,69.14
Kabupaten Kebumen,2023,73.83,13.37,7.86,9734,71.37
Kabupaten Purworejo,2023,75.21,13.53,8.46,11110,74.28
Kabupaten Wonosobo,2023,72.17,11.8,6.89,11577,69.37
Kabupaten Magelang,2023,74.2,12.61,7.82,10493,71.45
Kabupaten Boyolali,2023,76.23,12.66,8.09,13716,75.41
Kabupaten Klaten,2023,77.07,13.41,9.27,12968,77.59
Kabupaten Sukoharjo,2023,77.86,13.91,9.84,12319,78.65
Kabupaten Wonogiri,2023,76.56,12.52,7.67,10283,71.97
Kabupaten Karanganyar,2023,77.72,13.71,9.02,12260,77.31
Kabupaten Sragen,2023,75.97,12.92,7.87,13439,75.1
Kabupaten Grobogan,2023,75.04,12.46,7.28,11083,71.49
Kabupaten Blora,2023,74.71,12.51,7.08,10541,70.63
Kabupaten Rembang,2023,74.77,12.15,7.72,11399,71.89
Kabupaten Pati,2023,76.39,12.96,7.8,11385,73.59
Kabupaten Kudus,2023,76.86,13.26,9.34,12088,76.71
